name;description;instructions;ingredients;tags;preptime;cookingtime;servings;categories;creator;image
Spaghetti Carbonara;Italian pasta dish with creamy egg sauce;1. Cook the pasta: Fill a large pot with water, add a pinch of salt, and bring it to a boil. Add the spaghetti to the boiling water and cook according to package instructions until al dente, about 8�10 minutes. 2. Prepare the egg and cheese mixture: While the pasta is cooking, crack the eggs into a medium bowl. Add the grated Parmesan cheese and whisk together until smooth and well-combined, forming a creamy mixture. Set aside. 3. Cook the bacon: Place a large skillet over medium heat. Cut the bacon into small pieces and add it to the hot skillet. Saut� until the bacon is crispy and the fat has rendered out, about 5 minutes. Reduce the heat and set the skillet aside so the bacon doesn't burn. 4. Reserve pasta water: When the spaghetti is al dente, scoop out about 1/2 cup of the pasta cooking water and set it aside. Drain the spaghetti but do not rinse it, as the starch on the pasta will help bind the sauce. 5. Combine pasta and bacon: Transfer the drained spaghetti to the skillet with the bacon. Toss to combine, allowing the pasta to be coated with the bacon fat. The residual heat from the skillet and pasta will help to gently cook the sauce in the next step. 6. Add the egg and cheese mixture: Remove the skillet from heat. Pour the egg and cheese mixture over the hot spaghetti, quickly tossing to coat the pasta evenly. The eggs should gently cook in the heat of the pasta, creating a creamy sauce. If the sauce is too thick, add a bit of the reserved pasta water to reach the desired consistency. 7. Season to taste: Add freshly ground black pepper to taste. Additional salt may not be necessary as the bacon and Parmesan are already salty. 8. Serve: Serve the Spaghetti Carbonara immediately, garnishing with extra Parmesan if desired.;200 g spaghetti, 2 large eggs, 100 g bacon, 50 g Parmesan, 1 tsp black pepper;Italian, pasta, quick;10 min;15 min;2;Lunch/Dinner;MealFinder;spaghetti-carbonara.jpg
Chicken Curry;Spicy and creamy chicken curry with coconut milk;1. Prepare ingredients: Chop the chicken breast into bite-sized pieces. Finely chop the onion and garlic. 2. Saut� aromatics: In a large skillet or pot, heat a tablespoon of oil over medium heat. Add the chopped onion and garlic and saut� until they become translucent, about 3�4 minutes. 3. Cook chicken with spices: Add the chicken pieces to the skillet. Sprinkle the curry powder over the chicken and stir well to coat evenly. Cook for 5�7 minutes, or until the chicken is browned on all sides. 4. Add coconut milk: Pour in the coconut milk and stir to combine. Bring the mixture to a simmer and let it cook for about 10�15 minutes, allowing the chicken to become tender and the flavors to meld together. Stir occasionally. 5. Adjust seasoning and serve: Taste the curry and adjust salt or spices if needed. Serve hot with rice or naan.;300 g chicken breast, 2 tbsp curry powder, 400 ml coconut milk, 1 onion, 2 cloves garlic;Indian, spicy, creamy;15 min;25 min;3;Lunch/Dinner;MealFinder;chicken-curry.jpg
Veggie Stir Fry;Quick stir fry with fresh vegetables and soy sauce;1. Prepare vegetables: Chop the broccoli, slice the carrot, and cut the bell pepper into thin strips. 2. Heat oil: In a large skillet or wok, heat a tablespoon of oil over high heat. 3. Stir-fry vegetables: Add the vegetables to the hot skillet and stir-fry for 5�6 minutes until they are tender but still slightly crisp. 4. Add soy sauce: Pour in the soy sauce and stir well, allowing it to coat the vegetables evenly. Cook for another 1�2 minutes. 5. Garnish and serve: Sprinkle sesame seeds on top before serving. Enjoy hot over rice or noodles.;100 g broccoli, 1 whole carrot, 1 whole bell pepper, 2 tbsp soy sauce, 1 tsp sesame seeds;Asian, vegan, quick;10 min;10 min;2;Lunch/Dinner;MealFinder;veggie-stir-fry.jpg
Beef Tacos;Beef tacos with lettuce, cheese, and salsa;1. Prepare toppings: Shred the lettuce and grate the cheese. 2. Cook beef: In a large skillet over medium-high heat, add the ground beef and cook until browned, breaking it up with a spatula as it cooks. 3. Season beef: Add salt, pepper, or any taco seasoning you prefer, and cook for another 2�3 minutes. 4. Assemble tacos: Warm the taco shells, then add a spoonful of cooked beef to each shell. Top with shredded lettuce, grated cheese, and a spoonful of salsa. Serve immediately.;200 g ground beef, 4 whole taco shells, 1 cup lettuce, 100 g cheese, 50 g salsa;Mexican, easy, family;10 min;10 min;4;Lunch/Dinner;MealFinder;beef-tacos.jpg
Margherita Pizza;Classic pizza with tomato, mozzarella, and basil;1. Preheat oven to 220�C (430�F). 2. Prepare dough: Roll out the pizza dough on a floured surface to your desired thickness. Place it on a baking sheet or pizza stone. 3. Spread sauce: Spoon tomato sauce over the dough, spreading it evenly but leaving a border for the crust. 4. Add toppings: Tear the mozzarella into pieces and scatter them over the sauce. Place basil leaves on top. 5. Bake: Place the pizza in the oven and bake for 12�15 minutes, or until the crust is golden and the cheese is melted and bubbly. 6. Slice and serve hot.;1 whole pizza dough, 100 ml tomato sauce, 15 0g mozzarella, 10 leaves basil;Italian, vegetarian, classic;15 min;15 min;1;Lunch/Dinner;MealFinder;margherita-pizza.jpg
Salmon Teriyaki;Pan-seared salmon with sweet teriyaki glaze;1. Prepare salmon: Pat the salmon fillet dry with paper towels. Season lightly with salt and pepper. 2. Sear salmon: In a non-stick skillet, heat a tablespoon of oil over medium-high heat. Add the salmon, skin side down, and cook for 3�4 minutes, until the skin is crispy. Flip and cook for another 2�3 minutes. 3. Add teriyaki sauce: Pour the teriyaki sauce over the salmon. Lower the heat to medium and simmer for another 2�3 minutes, allowing the sauce to thicken slightly. 4. Serve: Sprinkle sesame seeds on top and serve immediately with rice or vegetables.;200 g salmon fillet, 50 ml teriyaki sauce, 1 tbsp sesame seeds;Asian, healthy, quick;10 min;10 min;2;Lunch/Dinner;MealFinder;salmon-teriyaki.jpg
Mushroom Risotto;Creamy risotto with mushrooms and parmesan cheese;1. Prepare ingredients: Finely chop the onion and garlic. Slice the mushrooms. 2. Saut� aromatics: In a large pot, melt a tablespoon of butter over medium heat. Add the chopped onion and garlic and cook until translucent, about 3 minutes. 3. Cook mushrooms: Add the mushrooms and cook until they are soft and release their moisture, about 5 minutes. 4. Toast rice: Add the arborio rice to the pot, stirring to coat it in the butter. Cook for 1�2 minutes until the rice becomes slightly translucent. 5. Add liquid gradually: Add a ladleful of warm broth and stir until absorbed. Continue adding broth, one ladle at a time, stirring constantly until the rice is creamy and tender. This takes about 18�20 minutes. 6. Finish with cheese: Stir in grated Parmesan and season with salt and pepper to taste. Serve hot.;200 g arborio rice, 150 g mushrooms, 50 g parmesan, 1 whole onion, 2 cloves garlic;Italian, comfort food, vegetarian;15 min;25 min;2;Lunch/Dinner, Sides;MealFinder;mushroom-risotto.jpg
Classic Cheeseburger;Juicy beef burger with cheddar and pickles;1. Prepare beef patty: Shape the ground beef into a patty, seasoning with salt and pepper on both sides. 2. Cook the patty: In a skillet over medium-high heat, cook the patty for 4�5 minutes on each side or until it reaches your desired level of doneness. 3. Add cheese: Place a slice of cheddar on the patty during the last minute of cooking and cover the skillet to melt the cheese. 4. Assemble the burger: Place the cooked patty with cheese on the bottom half of the bun. Add pickles on top, then cover with the other half of the bun. Serve immediately;200 g ground beef, 2 slices cheddar, 2 whole pickles, 2 piece burger buns;American, fast food, classic;10 min;10 min;2;Lunch/Dinner;MealFinder;classic-cheeseburger.jpg
Caesar Salad;Classic salad with romaine lettuce, croutons, and Caesar dressing;1. Prepare ingredients: Chop or tear the romaine lettuce and tomatoes into bite-sized pieces. 2. Toss with dressing: In a large bowl, add the lettuce and Caesar dressing. Toss until the leaves are evenly coated. 3. Add toppings: Sprinkle croutons and grated Parmesan over the salad. Toss gently to combine. Serve immediately;100 g romaine lettuce, 100 g cherry tomatoes, 50 g croutons, 2 tbsp Caesar dressing, 30 g parmesan;Salad, healthy, quick;10 min;5 min;1;Sides, Salad;MealFinder;caesar-salad.jpg
Pancakes;Fluffy pancakes with maple syrup;1. Prepare batter: In a large mixing bowl, whisk together flour, sugar, and baking powder. In a separate bowl, beat eggs with milk. Pour the wet ingredients into the dry ingredients and mix until just combined. 2. Cook pancakes: Heat a non-stick skillet over medium heat and lightly grease it. Pour a small amount of batter onto the skillet to form a pancake. Cook until bubbles form on the surface, then flip and cook the other side until golden. 3. Serve: Serve pancakes warm with maple syrup or toppings of choice.;200 g flour, 2 whole eggs, 200 ml milk, 50 g sugar, 1 tsp baking powder;Breakfast, sweet, easy;5 min;10 min;4;Dessert, Breakfast;MealFinder;pancakes.jpg
